idcontrato;nAnuncio;tipoprocedimento;objectoContrato;dataPublicacao;dataCelebracaoContrato;precoContratual;prazoExecucao;NIPC_entidade_comunicante;entidade_comunicante;fundamentacao
10625327;;Ajuste Direto Regime Geral;Aquisição de projeto para a Escola Primária de Gradiz;20/03/2024;14/03/2024;7176,38;30;506809307;Município de Aguiar da Beira;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10625331;;Ajuste Direto Regime Geral;Aquisição de Serviço Gestão de Frota e Localização de Viaturas;20/03/2024;19/03/2024;14597,64;1095;501305564;Município da Chamusca;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10625335;;Ao abrigo de acordo-quadro (art.º 258.º);Rua de Firmino Pereira | Beneficiação - Fiscalização;20/03/2024;22/02/2024;6826,67;40;505037238;Gestão e Obras do Porto, E. M.;Artigo 27.º, n.º 1, alínea h) do Código dos Contratos Públicos
10625352;;Consulta Prévia;Procedimento para aquisição de produtos de papelaria para a mesma do Agrupamento de Escola de Salvaterra de Magos.;20/03/2024;07/03/2024;16367,21;299;600074595;Agrupamento de Escolas de Salvaterra de Magos;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625357;;Ajuste Direto Regime Geral;Ajuste Direto 38/JFSDB/2024 - Requalificação dos acessos pedonais da Rua Félix Correia e Rua Abranches Ferrão na Freguesia de São Domingos de Benfica;20/03/2024;16/02/2024;19638;30;505203731;Freguesia de São Domingos de Benfica;Artigo 21.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625358;;Ajuste Direto Regime Geral;Renovação da subscrição do software Lansweeper;20/03/2024;08/03/2024;6660;1095;502563010;Município de Sines;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10625367;2794/2024;Concurso público;Aquisição de serviços de transporte ocasional no âmbito das visitas de estudo;20/03/2024;18/03/2024;17795;103;501090436;Município de Águeda;Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos
10625373;;Ajuste Direto Regime Geral;Projeto para Escola Primária de Coja;20/03/2024;14/03/2024;7176,38;30;506809307;Município de Aguiar da Beira;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10625378;;Ajuste Direto Regime Geral;AQUISIÇÃO DE DUAS ELETROBOMBAS SUBMERSÍVEL PARA A EEAR DA PLIE;20/03/2024;11/03/2024;9516;30;501131140;Município da Guarda;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10625379;;Ajuste Direto Regime Geral;Celebração de contrato de Prestação de serviços de reparação e manutenção dos tratores e máquinas da Autarquia de Montijo;20/03/2024;15/03/2024;19500;365;502834846;Município do Montijo;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10625382;;Ao abrigo de acordo-quadro (art.º 259.º); Aquisição de Medicamentos do aparelho cardiovascular ao abrigo do CPA 2023/305 para a ULSASI para o ano 2024;20/03/2024;20/03/2024;1800;120;503035416;Hospital Professor Doutor Fernando Fonseca, E. P. E.;Artigo 259.º do Código dos Contratos Públicos
10625384;;Contratação excluída II;AQUISIÇÃO DE SERVIÇOS DE ORGANIZAÇÃO DO EVENTO 'MAIACT - FESTIVAL DA JUVENTUDE - 2024';20/03/2024;15/03/2024;239750;18;505387131;Município da Maia;artigo 6.º-A n.º 1 do Código dos Contratos Públicos
10625385;;Ao abrigo de acordo-quadro (art.º 259.º);BEAD20240110 - AQUISIÇÃO DE NUTRICÃO PARENTÉRICA;20/03/2024;13/03/2024;88292,4;255;511228848;Serviço de Saúde da Região Autónoma da Madeira,EPE;Artigo 259.º do Código dos Contratos Públicos
10625400;;Ajuste Direto Regime Geral;LANCETA PARA PICADA DIGITAL 17GX2MM;20/03/2024;14/02/2024;84;20;506362299;Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos
